new_tx_id,output,size,time_of_day,r,v,z
1,489569,191,23,0.929204983,1956162.44,
2,2188871209,225,22.91666667,0.127160252,1080682.276,
3,64351521,348,23.88333333,0.795947106,376198.7149,
4,16177527,520,0.15,0.427013034,1242138.099,
5,9013400,961,0.4,0.260221737,295690.9216,
6,100017085,372,23.01666667,0.998121286,1141977.688,
7,45976125,225,22.7,0.351399529,215743.6643,
8,252203816,359,23.08333333,0.951715802,1969624.458,
9,1226737990,225,23.98333333,0.960567238,1881190.705,
10,1703037939,226,22.73333333,0.316228641,142725.8458,
11,9504092,226,22.9,0.833695229,881908.8652,
12,489391835,225,22.71666667,0.33252871,432391.0815,
13,587154,224,22.68333333,0.444313785,800251.1561,
14,76819537,225,23.75,0.971855735,1224074.693,
15,1526391969,226,23.63333333,0.905118404,2006506.137,
16,349875084,226,23.96666667,0.677481645,1021106.565,
17,98677679,339,23.76666667,0.406495316,291117.8453,
18,347371704,226,0.1,0.491860919,818966.6893,
19,2558883,226,23,0.527303568,186058.7977,
20,1401123976,225,23.33333333,0.179550245,1251632.276,
21,668448,340,23.56666667,0.891593109,238893.9203,
22,128774073,806,23.98333333,0.848091077,446653.0814,
23,18718017,225,22.73333333,0.589165783,717313.1623,
24,68679434,257,0.133333333,0.982087325,1063264.029,
25,1363023,223,23.76666667,0.664974664,1748636.307,
26,21396437,226,23.61666667,0.757100237,1765860.957,
27,382415078,256,22.8,0.137377924,1095881.566,
28,4509692290,226,22.91666667,0.295145581,758261.6336,
29,38578416,225,23.1,0.253249903,448310.7819,
30,1213668,170,0.216666667,0.772146994,1283539.4,
31,4209165,225,23.83333333,0.631683094,331048.4687,
32,16337773,668,23,0.04971649,2335261.247,
33,2637597,666,22.98333333,0.150620577,1334540.062,
34,130940,190,23.11666667,0.047737802,1972030.478,
35,55407066,226,23.01666667,0.742275509,2097319.502,
36,883090,191,0.366666667,0.663070624,217843.8446,
37,4348440,191,22.8,0.515581214,1832744.745,
38,78333667,224,0.116666667,0.898041897,80052.91981,
39,0,189,23.83333333,0.485224021,1985238.84,
40,17497846,189,23.2,0.801671008,1290824.346,
41,501789,224,23.28333333,0.053455421,2037606.099,
42,12893604,372,23.13333333,0.042147108,1901892.618,
43,3845265,168,22.71666667,0.48691115,1990797.636,
44,31148,224,23.61666667,0.352038101,1716811.521,
45,1700046,226,0.1,0.204150435,1216023.893,
46,1567532488,226,22.73333333,0.140355774,779071.1912,
47,1527971,189,22.96666667,0.631313411,926429.1521,
48,486625100,335,0.166666667,0.401440515,2003225.608,
49,7044599288,1330,0.016666667,0.070782206,1750490.779,
50,621982632,224,23.03333333,0.182616449,1654898.171,
51,3469688,225,0.25,0.618153282,294334.6106,
52,8561771,812,23.7,0.724874412,2024212.544,
53,1790209,338,23.98333333,0.653825334,1490479.411,
54,1501215,226,23.36666667,0.942002492,2116151.542,
55,44510535,225,22.68333333,0.34463647,1808258.956,
56,77104195,225,22.7,0.172013736,1794175.32,
57,195392474,225,23.61666667,0.582348743,2092424.889,
58,29178708,226,0.05,0.503531038,1047693.86,
59,221577282,6692,23.01666667,0.311085801,19211.00902,
60,54793037,224,0.033333333,0.789202998,1505923.92,
61,158656,225,23.95,0.379642245,540258.599,
62,22145333,261,22.98333333,0.511561763,1555572.582,
63,270201648,192,0.033333333,0.593435605,951168.4256,
64,1501744948,226,0.116666667,0.128564801,976463.966,
65,66082747,500,23.08333333,0.118361825,415541.5484,
66,81902832,293,23.76666667,0.777580105,1482684.785,
67,2076071,223,22.9,0.083682065,96555.25375,
68,1002875,373,22.93333333,0.482158775,1050372.322,
69,9797379,405,22.95,0.211136829,2390714.509,
70,57248934,962,0.05,0.876909877,1646683.946,
71,264886010,372,0.283333333,0.757646842,974321.3011,
72,1927006,225,22.71666667,0.326457217,1735098.044,
73,12329137,225,22.93333333,0.420627537,940525.2391,
74,2449665,225,23.23333333,0.374860179,563622.9467,
75,972800,373,22.95,0.720209721,1466395.886,
76,282818884,226,22.8,0.480592471,1914725.469,
77,26224911,372,0.183333333,0.804303726,200159.4216,
78,3217334,208,22.9,0.595038248,1454305.195,
79,648175,226,23.53333333,0.903876007,340377.1259,
80,1505591906,225,22.73333333,0.300976737,258421.126,
81,207816849,224,23.1,0.117549824,103495.8032,
82,237564227,192,23.11666667,0.134105461,1806310.059,
83,332210130,338,23.6,0.373698257,1159424.33,
84,1532303,225,23.85,0.431528026,1415455.826,
85,0,190,0.116666667,0.963069611,2358232.143,
86,1546760748,224,23.46666667,0.138395299,1874078.23,
87,146955939,338,22.71666667,0.634031831,1625948.513,
88,615535,192,0.066666667,0.808096322,678567.0228,
89,9532493395,336,0.383333333,0.070928341,2332737.762,
90,637158,226,23.01666667,0.702255993,1454164.832,
91,8539367,339,23.6,0.862553983,348709.5873,
92,499338525,225,23.01666667,0.261974555,1172009.975,
93,2534322795,257,0.016666667,0.404240771,1186673.414,
94,14981194,225,22.71666667,0.747729663,2173358.641,
95,14095640,374,0.016666667,0.287926366,615102.0533,
96,4919537,226,23.96666667,0.50666034,1430680.855,
97,3694112,226,0.433333333,0.95392769,1482912.401,
98,52908219,226,22.98333333,0.65771539,1566456.763,
99,9137891,226,23.03333333,0.454133504,518328.7606,
100,417309489,223,0.2,0.049418193,2369750.196,
